,,,,,,,,,,
,,,,,,,,,,
Overlap set,Pathway,gene_names_in_pathway_CRC,p_val_CRC,p_adj_CRC,gene_names_in_pathway_IBD,p_val_IBD,p_adj_IBD,gene_names_in_pathway_IBS,p_val_IBS,p_adj_IBS
,PID_TGFBR_PATHWAY,0,0,0,"CAMK2A,CAV1,CTNNB1,DAB2,DACT2,PPP2CB,PPP2R2A,SKIL,SMAD3,SMURF1,SPTBN1,STRAP,TGFBR3",0.01022684,0.04222224,0,0,0
,PID_MTOR_4PATHWAY,0,0,0,"DEPTOR,EEF2K,EIF4E,HRAS,IRS1,MAP2K1,MAP2K2,MLST8,PRR5,PXN,RICTOR,RPS6KA1,SFN,SREBF1,TSC1",0.01118149,0.04496448,0,0,0
,PID_ANGIOPOIETIN_RECEPTOR_PATHWAY,0,0,0,"ANGPT2,ETS1,FGF2,FYN,GRB7,ITGA5,MAPK3,MMP2,PAK1,PIK3CA,TEK",0.01285587,0.05020739,0,0,0
,KEGG_THYROID_CANCER,0,0,0,"CTNNB1,MAP2K1,MAPK3,NRAS,RXRG,TCF7L1,TCF7L2,TFG,TPM3",0.01371326,0.05174897,0,0,0
,KEGG_SMALL_CELL_LUNG_CANCER,0,0,0,"AKT3,COL4A1,COL4A2,COL4A4,ITGA3,ITGAV,LAMA1,LAMA2,LAMA4,LAMC1,PIK3CA,PIK3CD,PIK3CG,PIK3R5,RARB,RB1,TRAF1,TRAF4,TRAF5",0.01822846,0.06347019,0,0,0
,PID_ARF6_TRAFFICKING_PATHWAY,0,0,0,"ARF6,ASAP2,BIN1,CTNNA1,CTNNB1,CTNND1,EDNRB,ITGA2,ITGA6,ITGA7,ITGA9,ITGB1,SPAG9",0.01955098,0.06647333,0,0,0
,PID_TRAIL_PATHWAY,0,0,0,"CASP10,CASP8,CFLAR,CHUK,MAPK3,RIPK1,TNFRSF10A,TNFSF10",0.02400818,0.07709293,0,0,0
,PID_TRKR_PATHWAY,0,0,0,"CCND1,DYNLT1,EHD4,FRS2,GAB2,GIPC1,HRAS,MAP2K1,PIK3R1,RAP1B,RHOG,SOS1,SQSTM1,STAT3",0.02586443,0.07951938,0,0,0
,PID_CDC42_PATHWAY,0,0,0,"ACTR3,ARHGDIA,ARPC1B,ARPC3,ARPC4,ARPC5,BAIAP2,BCAR1,CFL1,CTNNA1,CTNNB1,HES5,HRAS,MAP2K3,MAP3K11,PIK3R1",0.02832567,0.08268807,0,0,0
,PID_TCPTP_PATHWAY,0,0,0,"CSF1,CSF1R,HGF,ITGA1,KDR,PDGFB,PDGFRB,PIK3CA,PIK3CD,RAB4A,SRC",0.03140723,0.08898715,0,0,0
,PID_P38_MKK3_6PATHWAY,0,0,0,"ATM,CCM2,GADD45A,MAP2K3,MAP3K10,MAP3K5,MAP3K6",0.03279124,0.09112181,0,0,0
IBS,KEGG_RIBOSOME,0,0,0,0,0,0,"RPL11,RPL12,RPL13,RPL13A,RPL14,RPL17,RPL18,RPL18A,RPL19,RPL23,RPL23A,RPL24,RPL27,RPL27A,RPL28,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL37A,RPL38,RPL4,RPL41,RPL5,RPL8,RPLP1,RPLP2,RPS11,RPS12,RPS13,RPS15,RPS15A,RPS17,RPS19,RPS20,RPS23,RPS24,RPS25,RPS27A,RPS28,RPS3,RPS6,RPS7,RPS8,UBA52",6.77E-65,1.04E-62
,KEGG_HEMATOPOIETIC_CELL_LINEAGE,0,0,0,0,0,0,"CD19,CD1B,CD2,CD22,CD37,CD3D,CD3E,CD3G,CD7,CD8B,CR1,IL7R,MS4A1",1.41E-10,3.62E-09
,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0,0,0,0,0,0,"CCL19,CCL22,CCL23,CCR4,CCR6,CCR7,CD40LG,IL21,IL21R,IL23A,IL24,IL7R,LTA,LTB,TNFRSF13C,TNFRSF9,TNFSF11,TNFSF13B,TNFSF14",5.34E-10,1.17E-08
,KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0,0,0,0,0,0,"CARD11,CD19,CD22,CD79B,DAPP1,INPP5D,PIK3CD,PRKCB,PTPN6,RAC2",2.61E-08,4.01E-07
,PID_PI3KCI_PATHWAY,0,0,0,0,0,0,"BLK,DAPP1,ITK,LCK,PIK3CD,ZAP70",2.84E-05,0.0002305
,KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0,0,0,0,0,0,"ITGAL,ITK,MMP9,NCF1,PIK3CD,PRKCB,RAC2,RHOH",0.00013455,0.00094185
,KEGG_SPLICEOSOME,0,0,0,0,0,0,"BUD31,DHX15,LSM2,LSM6,PPIE,PRPF38B,SF3B1,SF3B5,SNRPC,SNRPE,U2SURP",0.00015535,0.00104019
,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0,0,0,0,0,0,"C1QA,C1QB,C1R,C1S,FCGR2A,HLA-DPA1,HLA-DPB1",0.0004564,0.00281144
,PID_ERBB2_ERBB3_PATHWAY,0,0,0,0,0,0,"BAD,CHRNE,DOCK7,HRAS,KRAS,MTOR,NRAS,PIK3CB,PTPN11,STAT3",0.00153715,0.00845431
,KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0,0,0,0,0,0,"A2M,C1QA,C1QB,C1R,C1S",0.00210453,0.01080328
,KEGG_RENAL_CELL_CARCINOMA,0,0,0,0,0,0,"BRAF,EGLN2,EP300,GAB1,HRAS,KRAS,MET,NRAS,PAK2,PIK3CB,PTPN11,RBX1,SOS2,VEGFB",0.00246828,0.01187859
,KEGG_MTOR_SIGNALING_PATHWAY,0,0,0,0,0,0,"BRAF,MLST8,MTOR,PDPK1,PIK3CB,PRKAA2,RICTOR,RPS6KA6,RPS6KB2,STK11,VEGFB",0.00500105,0.02333823
,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0,0,0,0,0,0,"INPP5D,NCF1,PIK3CD,PRKCB,RAC2",0.00528711,0.02394751
,KEGG_RNA_POLYMERASE,0,0,0,0,0,0,"POLR1A,POLR1B,POLR2G,POLR2I,POLR2J,POLR3B,POLR3GL",0.00576751,0.02537704
,KEGG_ECM_RECEPTOR_INTERACTION,0,0,0,0,0,0,"CD36,COL5A2,ITGA8,LAMA4,SDC3",0.00784549,0.03166062
,KEGG_PYRIMIDINE_METABOLISM,0,0,0,0,0,0,"DUT,NME1-NME2,NME2,NME3,POLE,POLR2G,POLR2I,POLR2J,POLR3GL,UCK1",0.00801795,0.03166062
,KEGG_SELENOAMINO_ACID_METABOLISM,0,0,0,0,0,0,"AHCYL2,GGT7,MARS2,MAT2A,PAPSS2",0.00849097,0.03269023
,KEGG_RNA_DEGRADATION,0,0,0,0,0,0,"DCPS,EXOSC5,EXOSC7,LSM2,LSM6",0.01017039,0.03729143
,KEGG_MAPK_SIGNALING_PATHWAY,0,0,0,0,0,0,"FGFR4,MAP4K1,PLA2G2D,PRKCB,PTPN7,RAC2,RASGRP1,RASGRP2",0.01182876,0.04236346
,PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY,0,0,0,0,0,0,"GAB1,HRAS,KRAS,NRAS,PIK3CB,PTPN11,STAT3",0.01333656,0.04564068
,PID_PI3K_PLC_TRK_PATHWAY,0,0,0,0,0,0,"BAD,GAB1,HRAS,KRAS,NRAS,PDPK1,YWHAG",0.02125165,0.06679089
,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0,0,0,0,0,0,"ATF4,BAD,BAX,BRAF,FRS2,GAB1,HRAS,KRAS,MAP2K7,NRAS,NTF3,PDPK1,PIK3CB,PTPN11,RPS6KA6,SOS2,YWHAG",0.02253561,0.06940968
,PID_ECADHERIN_STABILIZATION_PATHWAY,0,0,0,0,0,0,"CTNNA1,CTNNB1,DIAPH1,LIMA1,LPP,MET,NCKAP1,PLEKHA7",0.02309285,0.06973135
,KEGG_ACUTE_MYELOID_LEUKEMIA,0,0,0,0,0,0,"BAD,BRAF,HRAS,KRAS,MTOR,NRAS,PIK3CB,RPS6KB2,SOS2,STAT3",0.03230534,0.09045495
,PID_PDGFRB_PATHWAY,0,0,0,0,0,0,"ACTN4,ACTR2,BRAF,BRK1,DOK1,GAB1,HRAS,IQGAP1,JUND,KRAS,MAP2K7,NCKAP1,NRAS,PIK3CB,PTPN11,STAT3,YES1,YWHAG",0.03418291,0.09400299
